CLINICA SANTA ROSA	91	PR-3 KM 135 AVE LOS VETERANOS H.7	APDO 10008	ALGARROBO	GUAYAMA	785	787-864-0101	787-866-0489	234833.7609	216458.2472	PONCE	7	FASE 1	PRIVADO	HOSP	57
HOSP EPISCOPAL CRISTO REDENTOR	93	AVE PEDRO ALBIZU CAMPOS C/PRINCIPAL URB LA HACIENDA	APDO 10011	GUAYAMA PUEBLO	GUAYAMA	785	787-864-4300	787-864-4466	233776.0272	215548.8028	PONCE	7	FASE 1	PRIVADO	HOSP	57
HOSP ANDRES GRILLASCA INC (CENTRO DE ONCOLOGICA AVANZADA)	162	PR-14 KM 4.2 AVE TITO CASTRO	APDO 331324	MACHUELO ARRIBA	PONCE	00733-1324	787-848-0800	787-843-2310	182739.7083	222093.5026	PONCE	5	FASE 2	PRIVADO	HOSP	113
HOSP DAMAS	163	PR-2 PONCE BY PASS	2213 PONCE BY PASS	CANAS URBANO	PONCE	00717-1318	787-840-8686	787-259-7364	180480.5987	218138.705	PONCE	5	FASE 1	PRIVADO	HOSP	113
HOSP DR MANUEL DE LA PILA IGLESIAS	164	AVE LAS AMERICAS 2431	APDO 331910	CANAS URBANO	PONCE	00733-1910	787-848-5600	787-651-5875	181220.7171	218863.3244	PONCE	5	FASE 1	PRIVADO	HOSP	113
HOSP PSIQUIATRIA FORENSE DE PONCE	166	PR-14 KM 4.2	APDO 732	MACHUELO ARRIBA	PONCE	731	787-844-0101	787-842-2906	182930.5657	222260.9779	PONCE	5	FASE 2	PUBLICO	HOSP	113
HOSP SAN CRISTOBAL	168	PR-506	APDO 501	COTO LAUREL	PONCE	731	787-848-2100	787-848-1110	187921.769	222841.7504	PONCE	5	FASE 1	PRIVADO	HOSP	113
HOSP METROPOLITANO DR TITO MATTEI	266	PR-128 KM 1.0	APDO 68	SUSUA BAJA	YAUCO	00698-0068	787-856-1000	787-856-4250	155076.3336	221963.1797	PONCE	5	FASE 1	PRIVADO	HOSP	153
HOSP EPISCOPAL SAN LUCAS 2	300	PR-14 AVE TITO CASTRO 917	APDO 336810	MACHUELO ABAJO	PONCE	00733-6810	787-844-2080	787-844-3454	182908.3527	221907.8957	PONCE	5	FASE 1	PRIVADO	HOSP	113
HIMA SAN PABLO - BAYAMON	37	C/SANTA CRUZ 70	APDO 236	JUAN SANCHEZ	BAYAMON	960	787-620-4747	787-620-9273	230200.1302	262458.247	BAYAMON	1	FASE 1	PRIVADO	HOSP	21
HOSP HERMANOS MELENDEZ	38	PR-2 KM 11.7	APDO 306	HATO TEJAS	BAYAMON	960	787-620-8181	787-269-0085	228559.6579	262394.491	BAYAMON	1	FASE 1	PRIVADO	HOSP	21
DOCTORS CENTER HOSPITAL- BAYAMON (ANT. MATILDES BRENES)	39	C/2 J-9 EXT HERMANOS DAVILA	CALL BOX 2957	COTO NORTE	BAYAMON	00674-0532	787-622-5420	787-622-5432	228210.5793	262518.3788	BAYAMON	1	FASE 1	PRIVADO	HOSP	21
HOSP UNIVERSITARIO DR RAMON RUIZ ARNAU	41	AVE LAUREL - URB SANTA JUANITA	AVE LAUREL - URB SANTA JUANITA	MINILLAS	BAYAMON	956	787-787-5151	787-787-7979	229507.6294	259152.6923	BAYAMON	1	FASE 1	PUBLICO	HOSP	21
CENTRO DE SALUD INTEGRAL DE OROCOVIS	152	PR-155 AVE LUIS MUÑOZ MARIN	APDO 2105	OROCOVIS PUEBLO	OROCOVIS	00720-2105	787-867-6010	787-867-5210	204123.7122	243533.2208	BAYAMON	6	FASE 1	PRIVADO	C MED PRIMARIA	107
HOSP GENERAL MENONITA - AIBONITO	11	C/JOSE C VAZQUEZ - SALIDA BO CAONILLA	APDO 1379	CAONILLAS	AIBONITO	705	787-735-8001	787-735-7172	218153.2803	234321.5815	CAGUAS	10	FASE 1	PRIVADO	HOSP	9
HIMA SAN PABLO - CAGUAS	49	LOTE 100 AVE MUNOZ MARIN URB MARIOLGA	APDO 4980	CAGUAS PUEBLO	CAGUAS	00726-4980	787-653-3434	787-653-1799	242456.1173	242615.0943	CAGUAS	10	FASE 1	PRIVADO	HOSP	25
HOSP SAN JUAN BAUTISTA MEDICAL CENTER	52	PR-172 URB TURABO GARDENS (SALIDA 21)	APDO 4964	CAGUAS PUEBLO	CAGUAS	00726-4964	787-653-0550	787-653-4522	240543.1944	242872.1076	CAGUAS	10	FASE 1	PUBLICO	HOSP	25
HOSP GENERAL MENONITA - CAYEY	65	PR-14 KM 3.1 BO RINCON SECTOR LOMAS	APDO 373130	CAYEY PUEBLO	CAYEY	00737-3130	787-535-1001	787-535-1014	230251.753	232199.9211	CAGUAS	10	FASE 1	PRIVADO	HOSP	35
FIRST HOSP PANAMERICANO - CIDRA	69	PR-787 KM 1.5	APDO 1400	SUD	CIDRA	00739-1400	787-739-5555	787-739-5544	231482.3747	237954.1469	CAGUAS	10	FASE 2	PRIVADO	HOSP	41
HIMA SAN PABLO - HUMACAO	102	AVE FONT MARTELO 3	APDO 639	HUMACAO PUEBLO	HUMACAO	792	787-656-2424	787-961-4521	264209.2327	235225.2027	CAGUAS	8	FASE 2	PRIVADO	HOSP	69
HOSP DR DOMINGUEZ INC	104	AVE FONT MARTELO 300	APDO 699	HUMACAO PUEBLO	HUMACAO	00791-0669	787-852-0505	787-850-4230	263799.9945	235569.3211	CAGUAS	8	FASE 2	PRIVADO	HOSP	69
HOSP RYDER MEMORIAL INC	105	C/FONT MARTELO 355	APDO 859	TEJAS	HUMACAO	00791-0859	787-852-0768	787-852-0157	263597.398	234647.0111	CAGUAS	8	FASE 1	PRIVADO	HOSP	69
HOSP UPR CAROLINA	57	PR-3 KM 8.1 AVE 65 INF	PO BOX 6021	SABANA ABAJO	CAROLINA	984	787-757-1800	787-276-2205	248759.9389	261505.0791	METRO	9	FASE 1	PRIVADO	HOSP	31
ADMINISTRACION DE SERVICIOS MEDICOS DE PR (ASEM)	182	CENTRO MEDICO	APDO 2129	MONACILLO URBANO	SAN JUAN	00922-2129	787-777-3535	787-777-3702	238091.8377	262259.8832	METRO	1	FASE 1	PUBLICO	HOSP	127
ASHFORD PRESBYTERIAN COMMUNITY HOSPITAL INC	183	AVE ASHFORD 1451	APDO 9020032	SANTURCE	SAN JUAN	00902-0032	787-721-2160	787-723-3797	238857.2795	268956.3138	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP DEL MAESTRO	184	C/SERGIO CUEVAS BUSTAMANTE 550	GPO BOX 364708	HATO REY NORTE	SAN JUAN	00939-4708	787-758-8383	787-751-2519	238523.4505	264066.5133	METRO	1	FASE 1	PRIVADO	HOSP	127
CENTRO CARDIOVASCULAR DE PR Y CARIBE DR RAMON M SUAREZ	198	AVE AMERICO MIRANDA - ENTRADA PRINCIPAL CENTRO MEDICO	APDO 366528	MONACILLO URBANO	SAN JUAN	00936-6528	787-754-8500	787-999-0860	238113.5105	262607.3024	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP INDUSTRIAL C.F.S.E.	211	CENTRO MEDICO	APDO 365028	MONACILLO URBANO	SAN JUAN	00936-5028	787-754-2525	787-767-3968	238061.2697	262159.2316	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP PAVIA SANTURCE	213	C/ASIA Y C/PROF AUGUSTO RODRIGUEZ 1462	APDO 11137	SANTURCE	SAN JUAN	00909-2137	787-641-1616	787-727-7500	238427.6362	267700.4522	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP PAVIA DE HATO REY	214	AVE PONCE DE LEON 435	APDO 190828	HATO REY	SAN JUAN	00919-0828	787-754-0909	787-281-0476	239862.0668	264886.5159	METRO	1	FASE 2	PRIVADO	HOSP	127
SAN JORGE CHILDRENS HOSPITAL	215	AVE SAN JORGE 268	APDO 6308 LOIZA STATION	SANTURCE	SAN JUAN	914	787-727-1000	787-268-3610	239126.8757	267976.3804	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP PEDIATRICO UNIVERSITARIO DR ANTONIO ORTIZ	216	CENTRO MEDICO	PO BOX 191079	MONACILLO URBANO	SAN JUAN	00919-1079	787-777-3535	787-756-8907	238147.782	262449.1076	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP PSIQUIATRICO DR RAMON FERNANDEZ MARINA	219	CENTRO MEDICO	APDO 2100	MONACILLO URBANO	SAN JUAN	922	787-766-4646	787-296-2410	237766.5004	261715.3527	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP SAN FRANCISCO	221	AVE DE DIEGO 371	APDO 29025	ORIENTE	SAN JUAN	00929-0025	787-767-5100	787-250-7829	241656.4932	262627.9032	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP SAN GERARDO	222	PR-844 KM 0.5	MSC 250 AVE WINSTON CHURCHILL #138	CUPEY BAJO	SAN JUAN	00926-6023	787-761-8383	787-748-2065	241698.461	256895.31	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP UNIVERSITARIO DE ADULTOS	226	CENTRO MEDICO	APDO 2116	MONACILLO URBANO	SAN JUAN	00922-2116	787-754-0101	787-294-3605	237980.9087	262392.1705	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP METROPOLITANO DE SAN JUAN	227	PR-21 URB LAS LOMAS 1785	APDO 11981	PUERTO NUEVO	SAN JUAN	922	787-782-9999	787-782-1723	235406.8672	261634.4998	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ	229	CENTRO MEDICO	APDO 191811	MONACILLO URBANO	SAN JUAN	00919-1811	787-763-4149	787-751-7940	238124.0765	262351.7404	METRO	1	FASE 1	PRIVADO	HOSP	127
CPC HOSP SAN JUAN CAPESTRANO	238	CARR PR-877 KM 1.6 CAMINO LAS LOMAS	RR-2 BUZON 11	SABANA LLANA SUR	SAN JUAN	926	787-625-2900	787-760-6875	242866.959	261222.749	METRO	1	FASE 2	PRIVADO	HOSP	127
SJ VETERANS ADMINISTRATION CARIBBEAN HEALTHCARE SYSTEM	239	C/CASIA 10		MONACILLO URBANO	SAN JUAN	921	787-641-7582	787-641-4582	237321.2215	261829.0513	METRO	1	FASE 1	PUBLICO	HOSP	127
HOSP AUXILIO MUTUO	240	AVE PONCE DE LEON PDA 37.5	APDO 191227	HATO REY	SAN JUAN	00919-1227	787-758-2000	787-771-7363	240282.912	263838.2226	METRO	1	FASE 1	PRIVADO	HOSP	127
HOSP MUNICIPAL DE SAN JUAN DR RAFAEL LOPEZ NUSSA	301	CENTRO MEDICO	PMB 79 PO BOX 70344	MONACILLO URBANO	SAN JUAN	00936-8344	787-766-2223	787-764-3643	237900.5117	262207.2722	METRO	1	FASE 1	PUBLICO	HOSP	127
HEALTH SOUTH REHABILITATION OF PR	302	3ER PISO HOSP UNIVERSITARIO DE ADULTOS - CENTRO MEDICO	PMB 340 APDO 70344	MONACILLO URBANO	SAN JUAN	00936-8344	787-274-5100	787-274-5115	238013.5025	262409.234	METRO	1	FASE 2	PRIVADO	HOSP	127
HOSP PSIQUIATRICO CORRECCIONAL	303	C/TENIENTE CESAR GONZALEZ 1106	PMB 314 APDO 70344	MONACILLO URBANO	SAN JUAN	00936-8344	787-758-8019	787-771-4690	238133.9488	261864.3281	METRO	1	FASE 2	PUBLICO	HOSP	127
CENTRO DE SALUD COMUNAL DE CULEBRA	79	C/WILLIAM FONT FINAL	APDO 694	CULEBRA PUEBLO	CULEBRA	775	787-742-3511	787-742-0176	319495.8078	252331.2885	FAJARDO	11	FASE 1	PUBLICO	CSC	49
HIMA SAN PABLO - FAJARDO	84	PR-194 AVE GENERAL VALERO #404 PR-194	APDO 1028	QUEBRADA	FAJARDO	738	787-655-0505	787-655-5049	281133.62	256351.022	FAJARDO	11	FASE 1	PRIVADO	HOSP	53
HOSP CARRIBEAN MEDICAL CENTER	85	AVE OSVALDO MOLINA		FAJARDO PUEBLO	FAJARDO	00738-0846	787-801-0081		282734.606	255918.492	FAJARDO	11	FASE 2		HOSP	53
CENTRO DE SALUD SUSANA CENTENO - VIEQUES	261	PR-997 KM H .1 C/ANTONIO G MELLADO FINAL	APDO 326	DESTINO	VIEQUES	765	787-741-0392	787-741-2550	305151.9965	234462.9803	FAJARDO	11	FASE 1	PUBLICO	HOSP	147
DOCTORS' CENTER HOSP SAN JUAN INC	0	1395 C/SAN RAFAEL SANTURCE	APDO 11338	SANTURCE	SAN JUAN	00910-3428	787-723-2950	787-725-2124	237988.4144	267850.6322	METRO	1	FASE 2	PRIVADO	HOSP	127
HOSP PSIQUIATRIA FORENSE DE RIO PIEDRAS	304	EDIFICIO C C/ MAGA BO. MONACILLOS- CENTRO MEDICO	CALL BOX 21414	SANTURCE	SAN JUAN	00928-1414	787-758-8019	787-764-3657	237727.5939	261737.1348	METRO	1	FASE 2	PRIVADO	HOSP	127
